alimento,grupo,equivalencia_casera,kcal_por_100g
Muslo de pollo con piel cocido con hueso,AOA MAG,1 pieza = 100 g,230
Muslo de pollo con piel crudo con hueso,AOA MAG,1 pieza = 103 g,212
Orejas de cerdo,AOA MAG,1 pieza = 112 g,236
Pata de cerdo cocida,AOA MAG,1 gramos = 0 g,139
Pata de cerdo cocidas,AOA MAG,1 gramos = 0 g,139
Patas de cerdo en escabeche,AOA MAG,1 gramos = 0 g,139
Patitas de cerdo encurtidas sin hueso,AOA MAG,1 gramos = 0 g,139
Pecho de res,AOA MAG,1 gramos = 1 g,205
Pierna de pollo con piel cocida,AOA MAG,1 pieza = 109 g,219
Pierna y muslo de pollo con piel,AOA MAG,1 pieza = 200 g,185
Queso Holandés,AOA MAG,1 gramos = 1 g,375
Queso Monterrey bajo en grasa,AOA MAG,1 rebanada = 28 g,314
Queso Mozzarella reducido en grasa,AOA MAG,1 rebanada = 28 g,254
Queso Mozzarella semidescremado,AOA MAG,1 gramos = 1 g,253
Queso Muenster bajo en grasa,AOA MAG,1 rebanada = 28 g,275
Queso Parmesano,AOA MAG,1 cucharada = 5 g,417
Queso Parmesano duro,AOA MAG,1 gramos = 1 g,390
Queso Parmesano en trozo,AOA MAG,1 gramos = 1 g,390
Queso Parmesano rallado,AOA MAG,1 cucharada = 5 g,417
Queso Ricotta semidescremada,AOA MAG,1 gramos = 1 g,138
Queso Tipo Americano Lala Light,AOA MAG,1 gramos = 1 g,210
Queso blanco,AOA MAG,1 gramos = 1 g,220
Queso de soya,AOA MAG,1 rebanada = 28 g,150
Requesón promedio,AOA MAG,1 cucharada = 12 g,181
Sabritas chicharrón de cerdo,AOA MAG,1 bolsa = 30 g,553
Salami de pavo,AOA MAG,1 rebanada = 7 g,171
Salchicha de pavo,AOA MAG,1 pieza = 61 g,197
Salchicha vegetariana,AOA MAG,1 pieza = 25 g,256
Salmón en aceite,AOA MAG,1 gramos = 1 g,203
Sardinas en aceite,AOA MAG,1 pieza = 12 g,208
Sardinas en tomate,AOA MAG,1 pieza = 38 g,187
Sesos de cerdo cocidos,AOA MAG,1 gramos = 1 g,138
Sesos de cordero cocidos,AOA MAG,1 gramos = 1 g,146
Sesos de temera cocidos,AOA MAG,1 gramos = 1 g,136
Sierra,AOA MAG,1 gramos = 1 g,205
Sierra Fileteada,AOA MAG,1 gramos = 1 g,209
Sierra picada,AOA MAG,1 gramos = 1 g,209
Suadero crudo,AOA MAG,1 gramos = 1 g,262
Sustituto de queso Mozzarella,AOA MAG,1 rebanada = 28 g,246
Abulón fresco,AOA MBAG,1 gramos = 1 g,105
Acociles,AOA MBAG,1 gramos = 1 g,106
Aguayón,AOA MBAG,1 gramos = 1 g,140
Aguayón de res,AOA MBAG,1 gramos = 1 g,140
Ahuahutle seco,AOA MBAG,1 gramos = 1 g,390
Alce crudo,AOA MBAG,1 gramos = 1 g,103
Almeja chirla,AOA MBAG,1 gramos = 1 g,82
Almeja cocida,AOA MBAG,1 pieza = 12 g,172
Almeja cruda mediana sin concha,AOA MBAG,1 pieza = 14 g,74
